ts,F1
33104280.145168304,3674.2923
33105281.145095825,3675.5893
33106282.145023342,3674.9789
33107283.145189285,3674.5975
33108284.14511681,3672.6138
33109285.145044327,3674.75
33110286.145210262,3675.6656
33111287.145137787,3677.4203
33112288.145065308,3674.3686
33113289.14499283,3675.2841
33114290.145158768,3675.2078
33115291.14508629,3674.8263
33116292.14501381,3674.5975
33117293.14517975,3674.5212
33118294.14510727,3673.9108
33119295.14503479,3674.5212
33120296.14520073,3674.5975
33121297.14512825,3674.9026
33122298.14505577,3674.216
33123299.14522171,3674.1397
33124300.14514923,3674.8263
33125301.14507675,3674.0634
33126302.145004272,3675.1315
33127303.14517021,3675.2078
33128304.145097733,3674.75
33129305.145025253,3674.75
33130306.145191196,3673.7582
33131307.145118717,3675.0552
33132308.145046238,3674.1397
33133309.145212173,3676.4285
33134310.14513969,3674.2923
33135311.14506721,3675.2078
33136312.144994736,3674.9789
33137313.145160675,3674.5212
33138314.1450882,3673.3005
33139315.14501572,3674.75
33140316.145181656,3673.9108
33141317.145109177,3675.2841
33142318.145036697,3674.8263
33143319.14520264,3674.216
33144320.14513016,3674.2923
33145321.14505768,3675.1315
33146322.145223618,3674.6737
33147323.14515114,3677.344
33148324.14507866,3674.9789
33149325.14500618,3675.3604
33150326.14517212,3674.6737
33151327.14509964,3672.6138
33152328.14502716,3674.75
33153329.1451931,3675.0552
33154330.14512062,3676.3522
33155331.14504814,3674.5212
33156332.14521408,3674.75
33157333.1451416,3674.4449
33158334.14506912,3674.5975
33159335.144996643,3674.5212
33160336.145162582,3674.5212
33161337.145090103,3673.9108
33162338.145017624,3674.5975
33163339.145183563,3674.9026
33164340.145111084,3675.2841
33165341.145038605,3673.6056
33166342.145204544,3674.3686
33167343.145132065,3675.8182
33168344.145059586,3674.75
33169345.144987103,3675.1315
33170346.14515305,3675.2841
33171347.145080566,3673.9871
33172348.145008087,3674.5212
33173349.145174023,3676.1233
33174350.145101547,3674.5212
33175351.145029068,3674.9789
33176352.145195007,3674.9789
33177353.145122528,3673.0716
33178354.14505005,3674.3686
33179355.14521599,3673.7582
33180356.14514351,3677.344
33181357.14507103,3674.216
33182358.14499855,3674.6737
33183359.14516449,3674.9789
33184360.14509201,3674.3686
33185361.14501953,3674.9026
33186362.14518547,3675.1315
33187363.14511299,3677.9544
33188364.145040512,3675.513
33189365.14520645,3674.9026
33190366.14513397,3674.8263
33191367.145061493,3673.9871
33192368.144989014,3674.6737
33193369.145154957,3677.5729
33194370.145082477,3674.3686
33195371.145009995,3674.6737
33196372.145175934,3675.1315
33197373.14510345,3673.3005
33198374.14503097,3675.2078
33199375.145196915,3675.513
33200376.145124435,3676.1996
33201377.14505196,3674.6737
33202378.145217896,3674.8263
33203379.145145416,3674.9026
33204380.145072937,3674.9026
33205381.145000458,3674.1397
33206382.1451664,3675.0552
33207383.14509392,3674.216
33208384.14502144,3676.8863
33209385.145187374,3674.4449
33210386.1451149,3674.75
33211387.14504242,3675.1315
33212388.14520836,3675.2078
33213389.14513588,3674.9789
33214390.1450634,3674.6737
33215391.14499092,3675.3604
33217083.1451416,3674.75
33218084.14506912,3674.3686
33219085.144996643,3674.2923
33220086.145162582,3673.8345
33221087.145090103,3674.5212
33222088.145017624,3674.9789
33223089.145183563,3673.3767
33224090.145111084,3674.1397
33225091.145038605,3675.0552
33226092.145204544,3674.3686
33227093.145132065,3674.3686
33228094.145059586,3673.2242
33229095.144987103,3674.5975
33230096.14515305,3674.5212
33231097.145080566,3675.6656
33232098.145008087,3674.9789
33233099.145174023,3674.6737
33234100.145101547,3674.8263
33235101.145029068,3674.5975
33236102.145195007,3674.3686
33237103.145122528,3675.2841
33238104.14505005,3674.3686
33239105.14521599,3675.1315
33240106.14514351,3674.5975
33241107.14507103,3672.8427
33242108.14499855,3674.9789
33243109.14516449,3675.1315
33244110.14509201,3674.8263
33245111.14501953,3675.5893
33246112.14518547,3674.9789
33247113.14511299,3674.3686
33248114.145040512,3674.3686
33249115.14520645,3674.6737
33250116.14513397,3676.7337
33251117.145061493,3674.75
33252118.144989014,3674.6737
33253119.145154957,3674.9789
33254120.145082477,3673.9871
33255121.145009995,3675.0552
33256122.145175934,3676.5048
33257123.14510345,3674.75
33258124.14503097,3674.5975
33259125.145196915,3674.5212
33260126.145124435,3673.3767
33261127.14505196,3674.9026
33262128.145217896,3675.0552
33263129.145145416,3675.513
33264130.145072937,3675.1315
33265131.145000458,3674.5975
33266132.1451664,3675.2078
33267133.14509392,3674.75
33268134.14502144,3674.4449
33269135.145187374,3677.8781
33270136.1451149,3674.9026
33271137.14504242,3675.0552
33272138.14520836,3674.5212
33273139.14513588,3674.0634
33274140.1450634,3673.6056
33275141.14499092,3676.7337
33276142.14515686,3675.2841
33277143.14508438,3674.75
33278144.1450119,3674.3686
33279145.14517784,3675.0552
33280146.14510536,3673.6056
33281147.145032883,3674.0634
33282148.145198826,3674.4449
33283149.145126343,3674.216
33284150.145053864,3673.3005
33285151.145219803,3674.75
33286152.145147324,3677.0389
33287153.145074844,3674.9789
33288154.145002365,3674.5975
33289155.145168304,3674.4449
33290156.145095825,3674.2923
33291157.145023342,3675.1315
33292158.145189285,3677.1915
33293159.14511681,3674.5212
33294160.145044327,3674.9026
33295161.145210262,3674.75
33296162.145137787,3674.5212
33297163.145065308,3674.5212
33298164.14499283,3677.2678
33299165.145158768,3674.8263
33300166.14508629,3674.75
33301167.14501381,3674.5975
33302168.14517975,3675.0552
33303169.14510727,3673.8345
33304170.14503479,3674.3686
33305171.14520073,3674.3686
33306172.14512825,3674.2923
33307173.14505577,3674.9026
33308174.14522171,3673.5293
33309175.14514923,3674.6737
33310176.14507675,3674.9026
33311177.145004272,3674.5975
33312178.14517021,3675.1315
33313179.145097733,3674.6737
33314180.145025253,3674.1397
33315181.145191196,3674.9789
33316182.145118717,3675.0552
33317183.145046238,3676.047
33318184.145212173,3675.3604
33319185.14513969,3675.0552
33320186.14506721,3674.3686
33321187.144994736,3673.8345
33322188.145160675,3675.2078
33323189.1450882,3674.6737
33324190.14501572,3675.0552
33325191.145181656,3675.3604
33326192.145109177,3674.9026
33327193.145036697,3674.5212
33328194.14520264,3673.9871
33329195.14513016,3675.4367
33330196.14505768,3674.4449
33331197.145223618,3676.1233
33332198.14515114,3675.8945
33333199.14507866,3674.3686
33334200.14500618,3675.2841
33335201.14517212,3674.6737
33336202.14509964,3674.5212
33337203.14502716,3674.5212
33338204.1451931,3674.4449
33339205.14512062,3672.8427
33340206.14504814,3675.1315
33341207.14521408,3674.9789
33342208.1451416,3675.2078
33343209.14506912,3677.4966
33344210.144996643,3674.5212
33345211.145162582,3675.1315
33346212.145090103,3674.9026
33347213.145017624,3675.2078
33348214.145183563,3675.3604
33349215.145111084,3674.75
33350216.145038605,3673.2242
33351217.145204544,3674.6737
33352218.145132065,3675.2078
33353219.145059586,3674.6737
33354220.144987103,3674.1397
33355221.14515305,3677.7255
33356222.145080566,3674.5975
33357223.145008087,3674.4449
33358224.145174023,3674.9789
33359225.145101547,3674.5975
33360226.145029068,3674.4449
33361227.145195007,3673.9108
33362228.145122528,3674.0634
33363229.14505005,3674.8263
33364230.14521599,3674.9789
33365231.14514351,3674.8263
33366232.14507103,3674.9789
33367233.14499855,3674.75
33368234.14516449,3675.3604
33369235.14509201,3674.8263
33370236.14501953,3674.1397
33371237.14518547,3673.6819
33372238.14511299,3673.0716
33373239.145040512,3674.3686
33374240.14520645,3675.0552
33375241.14513397,3675.5893
33376242.145061493,3674.1397
33377243.144989014,3678.0307
33378244.145154957,3674.2923
33379245.145082477,3675.2841
33380246.145009995,3674.9026
33381247.145175934,3674.9789
33382248.14510345,3674.9026
33383249.14503097,3674.75
33384250.145196915,3673.2242
33385251.145124435,3674.1397
33386252.14505196,3675.0552
33387253.145217896,3674.4449
33388254.145145416,3674.5975
33389255.145072937,3674.3686
33390256.145000458,3676.1233
33391257.1451664,3674.4449
33392258.14509392,3674.8263
33393259.14502144,3675.5893
33394260.145187374,3674.3686
33395261.1451149,3675.2841
33396262.14504242,3674.75
33398230.14521599,3674.8263
33399231.14514351,3674.4449
33400232.14507103,3674.216
33401233.14499855,3673.9108
33402234.14516449,3674.216
33403235.14509201,3674.5212
33404236.14501953,3675.2841
33405237.14518547,3674.9789
33406238.14511299,3677.7255
33407239.145040512,3674.9026
33408240.14520645,3674.8263
33409241.14513397,3674.8263
33410242.145061493,3674.9026
33411243.144989014,3674.9789
